split,best_policy,best_mean_improvement,best_std_improvement,ppo_mean_improvement,ppo_minus_best
test_seen,ppo,0.18582385990179212,0.005399321874113425,0.18582385990179212,0.0
test_unseen_family,ppo,0.11305605431510402,0.0035634873313057755,0.11305605431510402,0.0
test_unseen_size,ppo,0.15937182087984422,0.0014589689162851328,0.15937182087984422,0.0
val,ppo,0.1866311193393378,0.005994505241532601,0.1866311193393378,0.0
