split,policy,num_seeds,mean_initial_layout_score,std_initial_layout_score,mean_final_layout_score,std_final_layout_score,mean_layout_score_improvement,std_layout_score_improvement,mean_total_reward,std_total_reward,mean_episode_length,std_episode_length
test_seen,fixed::compress_and_stabilize,5,0.5136155059124727,0.002621035097094957,0.6801205859376493,0.003681045176208313,0.1665050800251764,0.00558113141812784,0.22583657127287413,0.006039191477991114,5.0,0.0
test_seen,fixed::cool_down_layout,5,0.5136155059124727,0.002621035097094957,0.6713538188312695,0.0037759761654977955,0.15773831291879675,0.0035553144429578193,0.2168736948019237,0.0038452157194856056,5.0,0.0
test_seen,fixed::expand_and_explore,5,0.5136155059124727,0.002621035097094957,0.6879458973216968,0.002174456073156988,0.17433039140922413,0.003855284065062759,0.21912043660350594,0.004829785530822409,5.0,0.0
test_seen,fixed::expand_and_stabilize,5,0.5136155059124727,0.002621035097094957,0.6823695662738732,0.0026959086713607477,0.1687540603614004,0.0038671006788826173,0.2238614023073559,0.0039567180370402915,5.0,0.0
test_seen,fixed::large_decrease_cooling_rate,5,0.5136155059124727,0.002621035097094957,0.673883034870033,0.004844758972889913,0.16026752895756016,0.006133674366914324,0.21964819058647103,0.006575194552490114,5.0,0.0
test_seen,fixed::large_decrease_k,5,0.5136155059124727,0.002621035097094957,0.6671467504522686,0.004555693614739485,0.15353124453979575,0.005133360898914157,0.2122459195850226,0.00553014727711494,5.0,0.0
test_seen,fixed::large_decrease_temperature,5,0.5136155059124727,0.002621035097094957,0.6786641003896701,0.004249966008985863,0.16504859447719736,0.00548722832248818,0.2245363024784363,0.005656923182164113,5.0,0.0
test_seen,fixed::large_increase_cooling_rate,5,0.5136155059124727,0.002621035097094957,0.6722039092258856,0.001156231231734007,0.15858840331341278,0.0030405092853202378,0.21079440906033872,0.002885619433039624,5.0,0.0
test_seen,fixed::large_increase_k,5,0.5136155059124727,0.002621035097094957,0.6874240293087192,0.0018511929031587596,0.17380852339624628,0.0009472448587681556,0.21881039221096402,0.0015837086120539868,5.0,0.0
test_seen,fixed::large_increase_temperature,5,0.5136155059124727,0.002621035097094957,0.6845717630507426,0.004078501377197036,0.17095625713826984,0.005383482811205478,0.22163649618076317,0.006701350687179283,5.0,0.0
test_seen,fixed::no_change,5,0.5136155059124727,0.002621035097094957,0.6854411921607516,0.0043843549733767395,0.17182568624827874,0.005573902314140713,0.23251549429241464,0.006433783400564468,5.0,0.0
test_seen,fixed::reheat_layout,5,0.5136155059124727,0.002621035097094957,0.6804659556252196,0.0035002154149846236,0.16685044971274682,0.0036878256454133764,0.21590777834657437,0.0034123218787408395,5.0,0.0
test_seen,fixed::reset_cooling_rate_to_default,5,0.5136155059124727,0.002621035097094957,0.6854411921607516,0.0043843549733767395,0.17182568624827874,0.005573902314140713,0.23251549429241464,0.006433783400564468,5.0,0.0
