split,policy,seed,graph_id,layout_score_improvement
val,Best fixed,2026,val__tree__small__idx0002__seed232028,0.28082944646449415
val,Best fixed,2026,val__tree__medium__idx0000__seed233026,0.21620158511734033
val,Best fixed,2026,val__tree__medium__idx0001__seed233027,0.21564830245609778
val,Best fixed,2026,val__tree__medium__idx0002__seed233028,0.23104259250141446
val,Best fixed,2026,val__grid__small__idx0000__seed242026,0.3329515539589668
val,Best fixed,2026,val__grid__small__idx0001__seed242027,0.3329645681981207
val,Best fixed,2026,val__grid__small__idx0002__seed242028,0.38938046999966475
val,Best fixed,2026,val__grid__medium__idx0000__seed243026,0.3216787737576985
val,Best fixed,2026,val__grid__medium__idx0001__seed243027,0.18934956280675064
val,Best fixed,2026,val__grid__medium__idx0002__seed243028,0.20228575637550228
val,PPO,2026,val__erdos_renyi__small__idx0000__seed202026,0.1530198669039572
val,PPO,2026,val__erdos_renyi__small__idx0001__seed202027,0.2212378244467153
val,PPO,2026,val__erdos_renyi__small__idx0002__seed202028,0.1640868806184178
val,PPO,2026,val__erdos_renyi__medium__idx0000__seed203026,0.16438233126708912
val,PPO,2026,val__erdos_renyi__medium__idx0001__seed203027,0.1591516338144499
val,PPO,2026,val__erdos_renyi__medium__idx0002__seed203028,0.1657555776233412
val,PPO,2026,val__barabasi_albert__small__idx0000__seed212026,0.13455867052182624
val,PPO,2026,val__barabasi_albert__small__idx0001__seed212027,0.09821328122793693
val,PPO,2026,val__barabasi_albert__small__idx0002__seed212028,0.08397109675065667
val,PPO,2026,val__barabasi_albert__medium__idx0000__seed213026,0.12772966285694348
val,PPO,2026,val__barabasi_albert__medium__idx0001__seed213027,0.09397053649860654
val,PPO,2026,val__barabasi_albert__medium__idx0002__seed213028,0.09398403784222176
val,PPO,2026,val__watts_strogatz__small__idx0000__seed222026,0.12146233416879354
val,PPO,2026,val__watts_strogatz__small__idx0001__seed222027,0.12544782799359494
val,PPO,2026,val__watts_strogatz__small__idx0002__seed222028,0.1458057988818071
val,PPO,2026,val__watts_strogatz__medium__idx0000__seed223026,0.11267011896886947
val,PPO,2026,val__watts_strogatz__medium__idx0001__seed223027,0.1173832639217921
val,PPO,2026,val__watts_strogatz__medium__idx0002__seed223028,0.12291453095483085
val,PPO,2026,val__tree__small__idx0000__seed232026,0.2506428733236219
val,PPO,2026,val__tree__small__idx0001__seed232027,0.21619340975147594
val,PPO,2026,val__tree__small__idx0002__seed232028,0.2955680850536081
val,PPO,2026,val__tree__medium__idx0000__seed233026,0.24092490558950297
val,PPO,2026,val__tree__medium__idx0001__seed233027,0.22329173251795809
val,PPO,2026,val__tree__medium__idx0002__seed233028,0.2408735035706503
val,PPO,2026,val__grid__small__idx0000__seed242026,0.33507179263223597
val,PPO,2026,val__grid__small__idx0001__seed242027,0.3179935383960205
val,PPO,2026,val__grid__small__idx0002__seed242028,0.38697121809724927
val,PPO,2026,val__grid__medium__idx0000__seed243026,0.3208678143760151
val,PPO,2026,val__grid__medium__idx0001__seed243027,0.24855288702183276
val,PPO,2026,val__grid__medium__idx0002__seed243028,0.32472588988133766
val,Default FR,2027,val__erdos_renyi__small__idx0000__seed202026,0.1308575964449208
val,Default FR,2027,val__erdos_renyi__small__idx0001__seed202027,0.22587597531570636
val,Default FR,2027,val__erdos_renyi__small__idx0002__seed202028,0.14931892831106341
val,Default FR,2027,val__erdos_renyi__medium__idx0000__seed203026,0.1960322769466849
val,Default FR,2027,val__erdos_renyi__medium__idx0001__seed203027,0.14610450674112524
val,Default FR,2027,val__erdos_renyi__medium__idx0002__seed203028,0.12265411031789852
val,Default FR,2027,val__barabasi_albert__small__idx0000__seed212026,0.09064277126293896
val,Default FR,2027,val__barabasi_albert__small__idx0001__seed212027,0.17224010963923153
val,Default FR,2027,val__barabasi_albert__small__idx0002__seed212028,0.11276540052065398
val,Default FR,2027,val__barabasi_albert__medium__idx0000__seed213026,0.13017795122718334
val,Default FR,2027,val__barabasi_albert__medium__idx0001__seed213027,0.07174691395961919
val,Default FR,2027,val__barabasi_albert__medium__idx0002__seed213028,0.11315846615790942
val,Default FR,2027,val__watts_strogatz__small__idx0000__seed222026,0.11388766957275764
val,Default FR,2027,val__watts_strogatz__small__idx0001__seed222027,0.164362569429977
val,Default FR,2027,val__watts_strogatz__small__idx0002__seed222028,0.15397178025006314
val,Default FR,2027,val__watts_strogatz__medium__idx0000__seed223026,0.10778934991919753
val,Default FR,2027,val__watts_strogatz__medium__idx0001__seed223027,0.09348132069067105
val,Default FR,2027,val__watts_strogatz__medium__idx0002__seed223028,0.12627110703025646
val,Default FR,2027,val__tree__small__idx0000__seed232026,0.28081080053993634
val,Default FR,2027,val__tree__small__idx0001__seed232027,0.20664795098365485
val,Default FR,2027,val__tree__small__idx0002__seed232028,0.2229628876454356
val,Default FR,2027,val__tree__medium__idx0000__seed233026,0.19094321189336982
val,Default FR,2027,val__tree__medium__idx0001__seed233027,0.2794623380833693
val,Default FR,2027,val__tree__medium__idx0002__seed233028,0.1888451134851119
val,Default FR,2027,val__grid__small__idx0000__seed242026,0.26941578685632495
val,Default FR,2027,val__grid__small__idx0001__seed242027,0.19324058192071836
val,Default FR,2027,val__grid__small__idx0002__seed242028,0.3472437639066138
val,Default FR,2027,val__grid__medium__idx0000__seed243026,0.22302980412755946
val,Default FR,2027,val__grid__medium__idx0001__seed243027,0.16116569438605133
val,Default FR,2027,val__grid__medium__idx0002__seed243028,0.3108802193295825
val,Random,2027,val__erdos_renyi__small__idx0000__seed202026,0.12436074055248236
val,Random,2027,val__erdos_renyi__small__idx0001__seed202027,0.1967875150187125
val,Random,2027,val__erdos_renyi__small__idx0002__seed202028,0.15487184643961271
val,Random,2027,val__erdos_renyi__medium__idx0000__seed203026,0.1759981200094679
val,Random,2027,val__erdos_renyi__medium__idx0001__seed203027,0.14445064798853308
val,Random,2027,val__erdos_renyi__medium__idx0002__seed203028,0.10172781458967384
val,Random,2027,val__barabasi_albert__small__idx0000__seed212026,0.12223445360404828
val,Random,2027,val__barabasi_albert__small__idx0001__seed212027,0.14771479725423264
val,Random,2027,val__barabasi_albert__small__idx0002__seed212028,0.11618368492290354
val,Random,2027,val__barabasi_albert__medium__idx0000__seed213026,0.13024520787081006
val,Random,2027,val__barabasi_albert__medium__idx0001__seed213027,0.06753622988020647
val,Random,2027,val__barabasi_albert__medium__idx0002__seed213028,0.11464952852659122
val,Random,2027,val__watts_strogatz__small__idx0000__seed222026,0.11471402177322854
val,Random,2027,val__watts_strogatz__small__idx0001__seed222027,0.15702589770964354
val,Random,2027,val__watts_strogatz__small__idx0002__seed222028,0.13592924556650182
val,Random,2027,val__watts_strogatz__medium__idx0000__seed223026,0.11150051541414374
val,Random,2027,val__watts_strogatz__medium__idx0001__seed223027,0.09333783924650796
val,Random,2027,val__watts_strogatz__medium__idx0002__seed223028,0.1291722117672217
val,Random,2027,val__tree__small__idx0000__seed232026,0.27465083069164853
val,Random,2027,val__tree__small__idx0001__seed232027,0.14341169841476797
val,Random,2027,val__tree__small__idx0002__seed232028,0.22075972335490746
val,Random,2027,val__tree__medium__idx0000__seed233026,0.1938246640913044
val,Random,2027,val__tree__medium__idx0001__seed233027,0.2704720262096406
