split,policy,graph_id,family,size_label,n,m,initial_score,final_score,improvement,actions
test_unseen_size,no_change,test_unseen_size__erdos_renyi__large__idx0001__seed402027,erdos_renyi,large,102,258,0.4889367794264367,0.600059131550434,0.11112235212399729,no_change | no_change | no_change | no_change | no_change
test_unseen_size,random,test_unseen_size__erdos_renyi__large__idx0001__seed402027,erdos_renyi,large,102,258,0.4889367794264367,0.5991991189285321,0.11026233950209535,large_decrease_k | reset_cooling_rate_to_default | small_decrease_k | small_increase_k | large_increase_temperature
test_unseen_size,fixed::large_increase_k,test_unseen_size__erdos_renyi__large__idx0001__seed402027,erdos_renyi,large,102,258,0.4889367794264367,0.6018737117040078,0.11293693227757112,large_increase_k | large_increase_k | large_increase_k | large_increase_k | large_increase_k
test_unseen_size,ppo,test_unseen_size__erdos_renyi__large__idx0001__seed402027,erdos_renyi,large,102,258,0.4889367794264367,0.6151075281745687,0.126170748748132,reset_cooling_rate_to_default | reheat_layout | large_increase_k | large_increase_k | large_increase_k
test_unseen_size,no_change,test_unseen_size__erdos_renyi__large__idx0002__seed402028,erdos_renyi,large,141,484,0.47658013129759014,0.5830504788285084,0.10647034753091822,no_change | no_change | no_change | no_change | no_change
test_unseen_size,random,test_unseen_size__erdos_renyi__large__idx0002__seed402028,erdos_renyi,large,141,484,0.47658013129759014,0.5845907842617009,0.10801065296411072,large_increase_temperature | large_increase_k | cool_down_layout | small_decrease_k | reheat_layout
test_unseen_size,fixed::large_increase_k,test_unseen_size__erdos_renyi__large__idx0002__seed402028,erdos_renyi,large,141,484,0.47658013129759014,0.5860009012737537,0.10942076997616357,large_increase_k | large_increase_k | large_increase_k | large_increase_k | large_increase_k
test_unseen_size,ppo,test_unseen_size__erdos_renyi__large__idx0002__seed402028,erdos_renyi,large,141,484,0.47658013129759014,0.5906082821482632,0.11402815085067308,reset_cooling_rate_to_default | large_increase_k | large_increase_k | large_increase_k | large_increase_k
test_unseen_family,no_change,test_unseen_family__random_geometric__small__idx0000__seed502026,random_geometric,small,16,102,0.49668390879915825,0.5733264693296003,0.07664256053044205,no_change | no_change | no_change | no_change | no_change
test_unseen_family,random,test_unseen_family__random_geometric__small__idx0000__seed502026,random_geometric,small,16,102,0.49668390879915825,0.5808461141230775,0.08416220532391927,reheat_layout | expand_and_explore | large_decrease_cooling_rate | no_change | large_increase_k
test_unseen_family,fixed::large_increase_k,test_unseen_family__random_geometric__small__idx0000__seed502026,random_geometric,small,16,102,0.49668390879915825,0.5636929722841073,0.06700906348494906,large_increase_k | large_increase_k | large_increase_k | large_increase_k | large_increase_k
test_unseen_family,ppo,test_unseen_family__random_geometric__small__idx0000__seed502026,random_geometric,small,16,102,0.49668390879915825,0.5733264693296003,0.07664256053044205,reset_cooling_rate_to_default | no_change | no_change | no_change | no_change
test_unseen_family,no_change,test_unseen_family__random_geometric__small__idx0001__seed502027,random_geometric,small,11,45,0.46679780820783257,0.5993818268869795,0.13258401867914693,no_change | no_change | no_change | no_change | no_change
test_unseen_family,random,test_unseen_family__random_geometric__small__idx0001__seed502027,random_geometric,small,11,45,0.46679780820783257,0.605860326179162,0.1390625179713294,large_decrease_k | reset_cooling_rate_to_default | small_decrease_k | small_increase_k | large_increase_temperature
test_unseen_family,fixed::large_increase_k,test_unseen_family__random_geometric__small__idx0001__seed502027,random_geometric,small,11,45,0.46679780820783257,0.6176670576598005,0.1508692494519679,large_increase_k | large_increase_k | large_increase_k | large_increase_k | large_increase_k
test_unseen_family,ppo,test_unseen_family__random_geometric__small__idx0001__seed502027,random_geometric,small,11,45,0.46679780820783257,0.5993818268869795,0.13258401867914693,reset_cooling_rate_to_default | no_change | no_change | no_change | no_change
test_unseen_family,no_change,test_unseen_family__random_geometric__small__idx0002__seed502028,random_geometric,small,10,44,0.4804732860355179,0.6010329831527768,0.12055969711725883,no_change | no_change | no_change | no_change | no_change
test_unseen_family,random,test_unseen_family__random_geometric__small__idx0002__seed502028,random_geometric,small,10,44,0.4804732860355179,0.5911430035434451,0.11066971750792715,large_increase_temperature | large_increase_k | cool_down_layout | small_decrease_k | reheat_layout
test_unseen_family,fixed::large_increase_k,test_unseen_family__random_geometric__small__idx0002__seed502028,random_geometric,small,10,44,0.4804732860355179,0.5957125620756994,0.11523927604018153,large_increase_k | large_increase_k | large_increase_k | large_increase_k | large_increase_k
test_unseen_family,ppo,test_unseen_family__random_geometric__small__idx0002__seed502028,random_geometric,small,10,44,0.4804732860355179,0.6010329831527768,0.12055969711725883,reset_cooling_rate_to_default | no_change | no_change | no_change | no_change
